note_name,midi_number,start_time_sec,duration_sec
A6,93,0.06965986394557823,0.3599092970521542
A#6,94,0.4295691609977324,0.5456689342403629
A#6,94,0.9868480725623583,1.6137868480725623
G#4,68,2.6238548752834467,1.381587301587302
G4,67,4.005442176870749,0.1160997732426301
G#4,68,4.260861678004535,0.1741496598639456
C#6,85,4.458231292517007,0.2205895691609978
G#4,68,4.702040816326531,0.8243083900226758
E6,88,5.537959183673469,0.1741496598639456
A5,81,5.712108843537415,0.11609977324263099
D#6,87,5.851428571428571,0.15092970521541993
G#4,68,6.013968253968254,1.0332879818594103
G#4,68,7.1401360544217685,0.2321995464852611
F#6,90,7.430385487528345,0.3366893424036279
F6,89,7.767074829931973,0.24380952380952436
A6,93,8.068934240362811,0.22975056689342566
