note_name,midi_number,start_time_sec,duration_sec
A6,93,0.0,0.10448979591836735
A#6,94,0.10448979591836735,2.7631746031746034
F#5,78,2.995374149659864,0.5224489795918368
G4,67,3.7384126984126986,0.24380952380952348
F#5,78,4.005442176870749,0.3482993197278912
E6,88,4.3769614512471655,0.37151927437641685
E6,88,4.806530612244898,0.4063492063492067
F6,89,5.2128798185941045,0.8126984126984125
F5,77,6.025578231292517,0.26702947845805003
D#5,75,6.292607709750567,0.10448979591836682
C#5,73,6.397097505668934,0.5224489795918368
D#5,75,6.919546485260771,0.10448979591836771
E6,88,7.035646258503402,0.4063492063492058
F6,89,7.441995464852607,0.5340589569161001
E6,88,7.9760544217687075,0.12770975056689426
E6,88,8.115374149659864,0.20897959183673365
G5,79,8.324353741496598,0.5108390022675753
F5,77,8.870022675736962,0.2438095238095226
E5,76,9.113832199546485,0.11609977324263099
G5,79,9.229931972789116,0.7894784580498868
D6,86,10.019410430839002,0.11609977324263099
D#6,87,10.135510204081633,0.11609977324262921
E6,88,10.251609977324263,0.25541950113378675
F#5,78,10.576689342403627,0.18575963718820887
G5,79,10.762448979591836,0.15092970521541993
G#5,80,10.913378684807256,0.32507936507936463
E6,88,11.23845804988662,0.3482993197278912
F6,89,11.586757369614512,0.7198185941043089
A4,69,12.353015873015874,0.3599092970521536
G#4,68,12.712925170068027,1.0332879818594094
A4,69,13.746213151927437,0.12770975056689338
G#4,68,14.02485260770975,0.11609977324263099
E5,76,14.199002267573697,0.16253968253968232
E6,88,14.361541950113379,0.16646258503401334
