note_name,midi_number,start_time_sec,duration_sec
A#6,94,0.0,1.474467120181406
A6,93,1.474467120181406,0.9171882086167802
G#6,92,2.391655328798186,0.12770975056689338
F6,89,2.589024943310658,0.16253968253968232
F5,77,2.786394557823129,0.11609977324263054
E5,76,2.9024943310657596,0.1741496598639456
D#5,75,3.076643990929705,0.10448979591836727
E5,76,3.1811337868480725,0.42956916099773235
F#5,78,3.8080725623582765,0.2205895691609978
F5,77,4.028662131519274,0.1741496598639456
F#5,78,4.20281179138322,0.30185941043083897
F5,77,4.504671201814059,0.2321995464852611
F#5,78,4.73687074829932,0.1160997732426301
F5,77,4.85297052154195,0.8475283446712014
E5,76,5.7004988662131515,0.12770975056689426
G#4,68,5.863038548752835,0.1741496598639456
A#4,70,6.03718820861678,0.49922902494331023
D5,74,6.582857142857143,0.1741496598639456
E6,88,6.896326530612245,0.18575963718820887
A#6,94,7.151746031746032,0.25541950113378675
G5,79,7.685804988662132,0.15092970521541904
G#4,68,8.034104308390022,0.20897959183673542
A6,93,8.428843537414966,0.21115646258503418
