note_name,midi_number,start_time_sec,duration_sec
A6,93,0.0,0.12770975056689343
A6,93,0.13931972789115646,0.3250793650793651
A#6,94,0.5456689342403628,0.10448979591836738
B6,95,0.6501587301587302,0.12770975056689338
A#6,94,0.7778684807256235,0.8243083900226758
A6,93,1.7298866213151927,0.3482993197278912
E4,64,2.3103854875283445,0.568888888888889
G#4,68,2.914104308390023,0.20897959183673454
C5,72,3.1230839002267574,0.20897959183673454
C#4,61,3.4597732426303853,0.6733786848072567
E4,64,4.20281179138322,1.7298866213151927
D#5,75,5.955918367346939,0.2205895691609978
E5,76,6.176507936507937,0.5108390022675735
D#5,75,6.6873469387755105,0.30185941043083897
E4,64,7.000816326530612,0.18575963718820887
E4,64,7.360725623582766,0.2321995464852611
C#4,61,7.604535147392291,0.19736961451247126
F4,65,7.894784580498866,0.10448979591836682
G4,67,8.010884353741497,0.10448979591836682
G#4,68,8.115374149659864,1.0792970521541942
