note_name,midi_number,start_time_sec,duration_sec
A6,93,0.1509297052154195,0.1625396825396825
A#6,94,0.313469387755102,0.8591383219954649
B6,95,1.172607709750567,0.3715192743764173
F4,65,4.191201814058957,0.8591383219954647
D#4,63,5.131609977324263,0.48761904761904695
G5,79,5.61922902494331,0.15092970521541993
G#5,80,5.77015873015873,0.16253968253968232
F#4,66,5.932698412698413,0.568888888888889
G4,67,6.501587301587302,0.12770975056689338
A4,69,6.640907029478458,0.1160997732426301
E4,64,6.815056689342404,0.26702947845805003
F4,65,7.082086167800454,0.7894784580498859
D#4,63,7.929614512471655,0.8591383219954647
F4,65,8.870022675736962,0.32507936507936463
G4,67,9.241541950113378,0.13931972789115754
A#6,94,9.496961451247165,0.4230385487528352
